"geo_id","year","nights","population","nights_per_1000pop","ln_nights_per_1000pop","gdp_pc","ln_gdp_pc","pop_density","ln_pop_density","comp_employees","wage_per_capita","ln_wage_per_capita","tertiary_edu","coast","area_km2","unesco_count"
"DEA3",2018,4133999,2621153,1577.16813936462,7.36338620104152,34400,10.4458118433615,379.9,5.93990806019358,48369.95,0.0184536919439651,-3.99249082315005,24.4,0,6947.50918191962,0
"DEA3",2019,4249702,2623619,1619.78625707467,7.39004947944421,35700,10.4829059677677,380.1,5.9404343759952,50384.9,0.0192043509366261,-3.95261841433825,25.7,0,6947.50918191962,0
"DEA3",2020,2508864,2624625,955.894270610087,6.86264731133911,35400,10.4744670991219,380.1,5.9404343759952,50842.08,0.01937117873982,-3.94396894952627,26.6,0,6947.50918191962,0
"DEA3",2021,2883347,2624719,1098.53550037166,7.00173320843644,37200,10.5240640402612,380.2,5.94069743005433,53156.72,0.0202523470131469,-3.89948459026189,27.4,0,6947.50918191962,0
"DEA3",2022,4128872,2631237,1569.17525863311,7.35830544734461,39800,10.5916221912725,381.8,5.94489691129165,56017.57,0.021289442950217,-3.849543965275,27.4,0,6947.50918191962,0
"DEA3",2023,4589181,2640307,1738.12401360902,7.46056165748517,41700,10.6382564077869,383.5,5.94933962080731,59763.31,0.0226349852498213,-3.788258549748,27.6,0,6947.50918191962,0
"DEA4",2017,4026514,2054205,1960.13250868341,7.58076735641048,37900,10.5427063910705,316.1,5.75605861922157,41111.11,0.0200131486390112,-3.9113657894913,22.8,0,6503.45346988586,1
"DEA4",2018,4018140,2054343,1955.92459487048,7.57861829917195,39200,10.5764320257786,316.2,5.75637492477537,43229.91,0.0210431802284234,-3.86117875099384,23.5,0,6503.45346988586,1
"DEA4",2019,4124156,2055310,2006.58586782529,7.60418998362075,40400,10.6065850639492,316.3,5.7566911303116,45069.09,0.0219281227649357,-3.81998532145046,24,0,6503.45346988586,1
"DEA4",2020,2324899,2055724,1130.93927005765,7.03080377888104,40500,10.6090572530946,316.3,5.7566911303116,44984.74,0.0218826749116126,-3.82206005517072,25.9,0,6503.45346988586,1
"DEA4",2021,2447507,2054178,1191.47756426171,7.082949466535,42000,10.6454248972655,316.2,5.75637492477537,46847.03,0.022805730564732,-3.78074343404407,26.6,0,6503.45346988586,1
"DEA4",2022,3727074,2057480,1811.47520267512,7.50189682140628,44400,10.7009947484203,317.6,5.76079272937298,49370.2,0.0239954701868305,-3.72989020866364,26.7,0,6503.45346988586,1
"DEA4",2023,4026327,2070052,1945.03664642241,7.57303609722333,46500,10.7472075915754,318.7,5.76425022142329,52413.11,0.0253197069445598,-3.67617225584266,28.5,0,6503.45346988586,1
"DEA5",2017,8604755,3586313,2399.33184861444,7.78294558116591,35200,10.4688013615862,449.5,6.10813585391167,69126.23,0.0192750130844686,-3.94894568070192,22.4,0,8004.14539329033,0
"DEA5",2018,8695022,3583590,2426.34397350143,7.79414086572756,36500,10.5050675395706,449.3,6.10769081607611,72536.95,0.020241419916899,-3.90002428302656,22.7,0,8004.14539329033,0
"DEA5",2019,8919177,3582497,2489.65372476237,7.81989891342763,37300,10.5267486056319,449.1,6.10724558009369,75513.78,0.0210785326547377,-3.85950016614078,23.1,0,8004.14539329033,0
